Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener
Red Kite,Milvus milvus,european,white,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.","When threatened, red kite mothers will signal for their young to play dead.",X,,,4,platform,2,157,X,X,X,,,,,1,,1,,*,2,,,,X,,,,,,,X,,X,,,,,X,,,,X,,X,,X,,X,,,
Red Knot,Calidris canutus,european,white,Draw 1 new bonus card. Then draw 3 [card] and keep 1 of them.,"This bird has one of the longest migrations, from the high Arctic to Chile and South Africa.",,,X,7,ground,2,50,,,X,3,,,,,,,,,3,X,X,X,X,X,X,X,,,,X,,,,,X,X,,,X,,,,,,,,,,X,
Red Wattlebird,Anthochaera carunculata,oceania,white,Gain 1 [nectar] from the supply for each bird with a wingspan less than 49cm in your [forest].,"These noisy, aggressive birds will drive off smaller birds from a good nectar source.",,,,3,bowl,2,49,X,,,,,,,,2,,,,2,,,,,,,X,X,,,X,X,,,,,,,,,X,,,,,,,,,,X
Red-Backed Fairywren,Malurus melanocephalus,oceania,yellow,"Lay 1 [egg] on each of your birds with a [star] nest, including this one.",These birds have been used to study the role that testosterone plays in breeding plumage.,,,,4,wild,3,15,,X,,1,1,,,,,,,,2,,,,,,,X,X,,,X,,,,X,,X,,,,,,X,,X,X,X,,,,X
Red-Backed Shrike,Lanius collurio,european,brown,Steal 1 [invertebrate] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,"These ""butcher birds"" use thorns and barbed wire as food storage.",,,,5,bowl,2,33,,X,,1,,,,1,,1,,,3,,,,X,X,X,,X,,,X,,,,,X,,,,,,,,X,,,X,X,,,X
Red-Bellied Woodpecker ,Melanerpes carolinus,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.","These birds' tongues each out 5 centimeters for insects, but seeds are half their diet.",,,,1,cavity,3,41,X,,,1,1,,,,,,/,,1,X,,,,,,,X,,,X,X,,,X,,,,,,X,,X,,,,,,,,
Red-Breasted Merganser,Mergus serrator,swiftstart,brown,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.","A red-breasted merganser was recorded flying 160 kilometers per hour, the fastest of any duck.",,,,3,ground,4,78,,,X,1,,1,,,,,,,2,X,,,X,X,,,X,,,X,X,,,,,X,,X,,,X,,,,,,,,X,
Red-Breasted Nuthatch ,Sitta canadensis,core,brown,Cache 1 [seed] from the supply on this bird.,These birds put resin around their nest opening to keep out attackers.,,,,2,cavity,3,23,X,,,1,1,,,,,,/,,1,X,,,,,,,X,,,X,X,,,X,,,,,,X,,X,,X,,,,,,
Red-Capped Robin,Petroica goodenovii,oceania,brown,"If the player to your left has an [invertebrate] in their personal supply, gain 1 [invertebrate] from the general supply.",These robins get their red pigment from food; red plumage shows that they are healthy and well-fed.,,,,2,bowl,4,17,X,,,1,,,,,,,,,1,,,,,,,X,X,,,X,X,,,,,,,,X,X,,,,X,,,,,,X
Red-Cockaded Woodpecker ,Picoides borealis,core,white,Draw 2 new bonus cards and keep 1.,"This bird is endangered due to habitat loss; there may be fewer than 10,000.",,,X,4,cavity,2,36,X,,,1,,,1,,,,,,2,X,,,,,,,,,,X,,,,,,,,,,X,,X,,,,,,X,,
Red-Eyed Vireo ,Vireo olivaceus,core,white,Play an additional bird in your [forest]. Pay its normal cost.,Nearsighted vireos flock with other birds that make noise if predators are around.,,,,3,wild,2,25,X,,,1,,,1,,,,/,,1,X,X,X,,,,,X,,,X,X,,,,,X,,,,X,,X,,X,X,,,X,,X
Red-Headed Woodpecker ,Melanerpes erythrocephalus,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.","These woodpeckers store nuts, seeds, and insects in wood or under bark.",,,,4,cavity,3,43,X,X,X,1,1,,,,,1,,,3,X,,,,,,,X,,,X,,X,,X,X,,,,,,,X,X,,,,,,,
Red-Legged Partridge,Alectoris rufa,european,brown,"Lay 1 [egg] on each bird in this column, including this one.",Partridges nest on the ground; they don’t generally roost in pear trees.,,,,1,ground,6,48,,X,,,3,,,,,,,,3,,,,X,,,,X,,,X,X,,,X,X,X,,,,,,,,,,X,,,,
Red-Necked Avocet,Recurvirostra novaehollandiae,oceania,brown,"If the player to your left or right has an [invertebrate] in their personal supply, gain 1 [invertebrate] from the general supply.","As avocets sweep their bills from side to side through water, they snap up small invertebrates for food.",,,,4,ground,2,75,,,X,1,1,,,,,,,,2,,,,,,,X,X,,,X,,,,X,,X,,,,,X,,,,,,,,X,
Red-Shouldered Hawk ,Buteo lineatus,core,brown,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.","These hawks hunt from a perch, swooping down when prey is nearby.",X,,,3,platform,2,102,X,,,,,,,1,,,,,1,X,X,,,,,,X,,,X,X,,,,,,X,,,X,X,,,,X,,X,,,
Red-Tailed Hawk ,Buteo jamaicensis,core,brown,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.",Movies almost always use the red-tailed hawk's call for any raptor.,X,,,5,platform,2,124,X,X,X,,,,,2,,,,,2,X,X,,,,,,X,,,X,,X,,,,,X,,,,X,,,,X,,X,,,
Red-Winged Blackbird ,Agelaius phoeniceus,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.",Blackbird flocks can include hundreds of thousands of birds,,X,,2,bowl,3,33,,X,X,,1,,,,,,,,1,X,X,,,,,,X,,,X,X,X,X,X,,,,,,,,,,,,,,,,X
Red-Winged Parrot,Aprosmictus erythropterus,oceania,brown,"Give 1 [nectar] from your supply to another player. If you do, lay 2 [egg] on this bird or gain 2 [die] from the birdfeeder.",The male of this species has a blue back that he reveals in his mating display.,,,,6,cavity,2,49,X,X,X,,1,,1,,1,,,,3,,,,,,,X,X,,,X,,X,,X,X,,,,,,,X,,,,,,X,,
Regent Bowerbird,Sericulus chrysocephalus,oceania,brown,Choose 1 other player. You both gain 1 [invertebrate] from the supply.,"Bowerbirds decorate their bowers with items like paint, shells, and buttons to attract a mate.",,,,3,bowl,2,36,X,X,,1,1,,1,,,,/,,1,,,,,,,X,,,,,X,X,,X,,,,,,,,,,,,,,X,,X
Ring-Billed Gull,Larus delawarensis,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",These gulls steal food and eggs from other birds and scavenge at garbage dumps.,,X,,4,ground,2,122,,,X,,,,,,,2,,,2,X,X,,,,,,X,,,,,,X,,,X,,,,,X,,X,,,,,,X,
Rose-Breasted Grosbeak ,Pheucticus ludovicianus,core,brown,"Gain 1 [seed] or [fruit] from the birdfeeder, if available.","This pretty, sweet-sounding bird has the gruesome nickname ""cut-throat"".",,,,6,bowl,3,33,X,,,1,1,,1,,,,,,3,X,X,,,,,,X,,,X,,,,X,X,,,,,X,,,,,,,,X,,X
Roseate Spoonbill ,Platalea ajaja,core,white,Draw 2 new bonus cards and keep 1.,This bird's unusually shaped bill helps it feel prey in the water.,,,X,6,platform,2,127,,,X,1,1,1,,,,,,,3,X,X,X,,,,,X,,,X,,,,X,X,,,X,,,X,,,,X,,,,X,
Royal Spoonbill,Platalea regia,oceania,brown,Draw 1 face-up [card] from the tray with a [platform] or [star] nest. You may reset or refill the tray before doing so.,"Spoonbills nest in colonies, often alongside many other water birds.",,,,4,platform,2,120,,,X,1,,1,,,,,,,2,,,,,X,,X,X,,,,,,,,,,,X,,,X,,,,X,,,,X,
Ruby-Crowned Kinglet ,Regulus calendula,core,white,Play an additional bird in your [forest]. Pay its normal cost.,Kinglets' ruby-red crown feathers pop up when they are agitated.,,,,2,bowl,3,20,X,,,1,1,,1,,,,/,,1,X,X,,,,,,X,,,X,X,,,X,,,,,,X,,,,X,,,,X,,X
Ruby-Throated Hummingbird,Archilochus colubris,core,brown,"Each player gains 1 [die] from the birdfeeder, starting with the player of your choice.",Hummingbirds feed on nectar---but they also eat many small insects.,,,,4,bowl,2,10,X,X,X,,,,,,,1,,,1,X,X,,,,,,X,,,X,,X,,,,,,,,,,,X,X,,,,,,X
Ruddy Duck,Oxyura jamaicensis,core,brown,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.","To display for mates, male slap their blue bills on their chests and run across the water.",,,,0,platform,5,48,,,X,1,1,,,,,,/,,1,X,X,X,,,,,,,,X,X,,,X,,,,,,,,,,,X,,,,X,
Ruff,Calidris pugnax,european,teal,Tuck up to 3 [card] from your hand behind this bird. Draw 1 [card] for each card you tucked.,"During breeding season, male ruffs grow showy collars that can be black, white, or brown.",,X,,2,ground,2,56,,X,X,1,,,,,,1,,,2,,,,X,X,X,,,,,,X,X,X,,,X,,,,,,,X,,,,,,,
Rufous Night-Heron,Nycticorax caledonicus,oceania,brown,"Look at a [card] from the deck. If it can live in [wetland], tuck it behind this bird. If not, discard it.","In addition to invertebrates and fish, night-herons eat eggs and chicks of other wetland birds.",X,,,5,platform,2,106,,,X,1,,1,,,,,,,2,,,,,X,,X,,,,X,,,,,,,X,X,,,X,,,,X,,,,X,
Rufous Owl,Ninox rufa,oceania,brown,Draw 1 face-up [card] from the tray with a wingspan less than 75cm and tuck it behind this bird.,"This large owl will eat prey as large as possums, scrubfowl, and parrots.",X,,,7,cavity,2,115,X,,,,,,,3,,,,,3,,,,,,,X,,,,X,,,,,X,,X,,,X,X,X,,,,,X,,,
Rufous-Banded Honeyeater,Conopophila albogularis,oceania,brown,"Discard 1 [invertebrate]. If you do, gain 1 [nectar] from the supply.",Honeyeaters have a brush-tipped tongue that they use to gather nectar from flowers.,,,,0,bowl,4,22,X,,X,1,,,,,1,,/,,1,,,,,,,X,,,,X,X,X,,,,,,,,,,,,X,,,,,,X
Sacred Kingfisher,Todiramphus sanctus,oceania,pink,"When another player takes the ""gain food"" action, gain 1 [invertebrate], [fish], or [rodent] from the birdfeeder, if there is one, at the end of their turn.","Despite this bird’s name, fish make up a small portion of its diet.",X,,,0,cavity,4,30,X,X,X,1,,1,,1,,,/,,1,,,,,X,,X,,,,,X,X,,,,,X,X,,,,X,,X,,,X,,,
Sandhill Crane,Antigone canadensis,core,brown,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,Sandhill cranes can live for decades and mate for life.,,X,,5,ground,1,196,,X,X,,2,,,,,1,,,3,X,X,,,,,,,X,,,,X,X,X,X,X,,,,,X,,X,,,,,,,
Savannah Sparrow ,Passerculus sandwichensis,core,white,Play an additional bird in your [grassland]. Pay its normal cost.,"This sparrow is named after both Savannah, Georgia, and Sandwich Sound, Alaska.",,,,2,ground,3,18,,X,,1,1,,,,,,/,,1,X,X,,,,,,,X,,,X,,,X,,X,,,,,,,,X,,X,,,,
Savi's Warbler,Locustella luscinioides,european,brown,Draw 2 [card]. All other players draw 1 [card] from the deck.,"Paolo Savi is called the father of Italian geology, but he was also an ornithologist.",,,,1,bowl,4,20,,,X,1,,,,,,,,,1,,,,X,X,X,,,,X,,X,,,,,,,,X,,,,,X,,,,,X,X
Say's Phoebe,Sayornis saya,core,white,Lay 1 [egg] on each of your birds with a [bowl] nest.,"Thomas Say also has snails, crabs, and a snake named after him.",,,,5,bowl,3,33,,X,,3,,,,,,,,,3,X,X,,,,,,,,X,,,,,,X,,,,X,,,,,,,X,,,,X
Scaled Quail,Callipepla squamata,swiftstart,brown,Lay 1 [egg] on this bird.,Quail chicks can get up and follow their parents as soon as they hatch.,,,,0,ground,6,36,,X,,,1,,,,,,,,1,X,X,,,,,,,,,,X,,,X,,X,,,,,,,,,,X,,,,
Scissor-Tailed Flycatcher ,Tyrannus forficatus,core,brown,All players gain 1 [invertebrate] from the supply.,The mating display of these birds involves aerial acrobatics that show off their long tails.,,,,8,bowl,2,38,,X,,2,,,1,,,,,,3,X,X,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,X,,X
Short-Toed Treecreeper,Certhia brachydactyla,european,brown,"Discard 1 [egg] from any bird. If you do, play another bird in your [forest]. Pay its normal food and egg cost.",This bird uses its long beak to feed on insects hidden in tree bark crevices.,,,,2,cavity,5,20,X,,,1,1,,,,,,,,2,,,,X,,,,X,,,,X,,,X,,,,,,X,,X,,X,,,,,,
Silvereye,Zosterops lateralis,oceania,brown,All players gain 1 [nectar] from the supply.,This bird’s name comes from the ring of white feathers around its eye.,,,,4,bowl,4,17,X,X,X,1,,,,,1,,,,2,,,,,,,X,X,,,X,,X,,,,,,,,,,,,X,,,,,,X
Snow Bunting,Plectrophenax nivalis,european,pink,"When another player tucks a [card] for any reason, tuck 1 [card] from your hand behind this bird, then draw 1 [card] at the end of their turn.",Male snow buntings fly north early to find suitable nesting sites in the harsh Arctic climate.,,X,,5,cavity,2,35,,X,X,1,1,,,,,,,,2,,,,X,X,X,,,,,X,,X,X,X,,,,,,,,X,,,,,,,,
Snowy Egret ,Egretta thula,core,brown,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.","In the 1880's, these birds' wispy plumes were literally worth their weight in gold.",X,,,4,platform,2,104,,,X,1,,1,,,,,/,,1,X,X,X,,,,,,,,X,,,,,,,X,X,,,X,,,,X,,,,X,
Snowy Owl,Bubo scandiacus,european,white,Draw 1 new bonus card. Then gain 1 [card] or lay 1 [egg] on any bird.,"Harry Potter’s owl, Hedwig, is a snowy owl.",,,X,4,ground,3,138,,X,X,,,,,2,,,,,2,X,,,X,X,,,,,,X,,X,,,,X,,,,,X,,,,,,X,,,
Song Sparrow ,Melospiza melodia,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.","When resources are abundant, song sparrows can rear four clutches of eggs in a year.",,,,0,bowl,5,20,X,X,X,1,1,,1,,,,/,,1,X,,,,,,,,,,,X,X,,X,,,,,,,,,,X,,,,X,,X
South Island Robin,Petroica australis,oceania,brown,"If the player to your right has an [invertebrate] in their supply, cache 1 [invertebrate] from the general supply on this bird.","These robins search for insects on the ground, then cache extras on branches and in crevices.",,,,1,bowl,5,24,X,X,,1,,,,,,,,,1,,,,,,,X,,X,,,X,X,,,,,,,X,,,,,X,,,,,,X
Southern Cassowary,Casuarius casuarius,oceania,white,"Discard a bird from your [forest] and put this bird in its place (do not pay an egg cost). If you do, lay 4 [egg] on this bird and gain 2 [fruit] from the supply.",These aggressive birds are important for dispersing the seeds of large fruits in the rainforest.,,,,4,ground,4,*,X,,,,,,2,,,1,,,3,,,,,,,X,,X,,,,,,,X,X,,,,X,X,,X,X,,,,X,,
Spangled Drongo,Dicrurus bracteatus,oceania,pink,"When another player gains [nectar], gain 1 [nectar] from the supply.","This bird makes its own distinctive calls, but also mimics other bird species.",,,,1,bowl,2,27,X,,,1,,,,,1,1,,,3,,,,,X,,X,,,,,X,,,,X,,,,,X,,,X,X,,,,,,X
Splendid Fairywren,Malurus splendens,oceania,yellow,"Lay 1 [egg] on each of your birds with a wingspan less than 30cm, including this one.","These birds make dome-shaped nests with a side opening, often in a low bush.",,,,1,wild,5,15,X,X,,2,,,,,,,,,2,,,,,,,X,,,,,X,X,,,,X,,,X,,,X,,X,X,,,,,X
Spotless Crake,Zapornia tabuensis,oceania,yellow,"Lay 1 [egg] on each bird in your [wetland], including this one.",The crake’s eyes turn bright red as it matures.,,,,1,ground,3,28,,,X,1,1,,,,,,/,,1,,,,,X,,X,,,,,X,,,X,,X,,,,,,,,X,,,,,X,
Spotted Owl,Strix occidentalis,core,white,Draw 2 new bonus cards and keep 1.,Habitat for these birds was a topic in logging fights in the Pacific Northwest region of the US.,,,X,5,cavity,1,102,X,,,,,,,2,,,,,2,X,X,,,,,,,,,,,,,,,,,,,X,X,X,,,,,X,,,
Spotted Sandpiper ,Actitis macularius,core,brown,All players draw 1 [card] from the deck.,These sandpipers consistently bob their tails; people call them teeter-peeps and tip-tails.,,,,5,ground,2,38,,,X,1,,,,,,,,,1,X,X,X,,,,,,,,,,,,,,X,,,X,,,,,,,,,,X,
Spotted Towhee ,Pipilo maculatus,core,brown,Gain 1 [seed] from the supply.,These birds forage by hopping backwards to uncover insects and seeds in the leaf litter.,,,,0,ground,4,28,X,X,,1,1,,1,,,,/,,1,X,X,X,,,,,,,,,X,X,,X,,X,,,,,,,,X,,,,X,,
Sprague's Pipit,Anthus spragueii,core,white,Draw 2 new bonus cards and keep 1.,This rare bird's mating display can last for over an hour.,,,X,3,ground,3,25,,X,,1,1,,,,,,,,2,X,X,,,,,,,,X,,X,,,X,,X,,,,,,,,X,,X,,,,
Squacco Heron,Ardeola ralloides,european,brown,Gain 1 face-up [card] that can live in [wetland].,"In mating displays, male squacco herons erect their long showy plume feathers.",,,,3,platform,2,86,,,X,1,,1,,,,,,,2,,,,X,,X,,,,,,X,,,,,,,X,,,X,,,,X,,,,X,
Steller's Jay,Cyanocitta stelleri,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.",Naturalist Georg Steller saw this bird on a Russian exploration to Alaska in 1741.,,,,5,bowl,2,48,X,,,,2,,,,,1,,,3,X,X,,,,,,,,X,,,,,X,X,,,,,X,,,X,,,,,,,X
Stubble Quail,Coturnix pectoralis,oceania,white,Discard up to 6 [wild]. Lay 1 [egg] on this bird for each discarded food.,This common quail’s kidneys are adapted to need very little water.,,,,4,ground,6,29,,X,,1,1,,,,,,/,,1,,,,,,,X,,,,,,,,X,,X,,,,,,,,X,,X,,,,
Sulphur-Crested Cockatoo,Cacatua galerita,oceania,brown,"Tuck 1 [card] from your hand behind this bird. If you do, all players gain 1 [nectar] from the supply.","While a flock of cockatoos is on the ground to feed, one bird often keeps guard from above.",,X,,6,cavity,2,103,X,,,,1,,1,,,,,,2,,,,,X,,X,X,,,X,,,X,X,,,,,,X,X,X,,,,,,X,,
Superb Lyrebird,Menura novaehollandiae,oceania,brown,Copy a brown power on one bird in the [forest] of the player to your right.,Male lyrebirds attract mates with their huge tails and an extraordinary ability for mimicry.,,,,5,wild,1,73,X,,,2,,,,,,1,,,3,,,,,,,X,,,,,,,,,X,X,,,,X,X,X,X,,X,,,,,X
Swainson's Hawk,Buteo swainsoni,core,brown,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.","These hawks feed chicks small mammals and birds, but adults eat mostly insects.",X,,,5,platform,2,130,,X,,1,,,,1,,,,,2,X,X,X,,,,,,,X,,,,,,,,X,,,,X,,,,X,X,X,,,
Tawny Frogmouth,Podargus strigoides,oceania,brown,Reset the birdfeeder. Cache 1 [invertebrate] or [rodent] from the birdfeeder (if available) on this bird.,"These nocturnal birds are masters of camouflage, and are often mistaken for broken tree branches.",X,,,5,platform,2,82,X,X,X,2,,,,1,,,,,3,,,,,,,X,X,,,X,,X,,,X,,X,,,,X,,,,X,,X,,,
Thekla's Lark,Galerida theklae,european,brown,"Discard 1 [seed] from your supply. If you do, lay 2 [egg] on this bird.",Thekla’s lark was named by German zoologist Alfred Brehm after his sister.,,,,4,ground,3,34,,X,,2,1,,,,,,,,3,,,,X,,X,,,,X,,,,,X,X,X,,,,,,,,,,X,,,,
Tree Swallow ,Tachycineta bicolor,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",Tree swallows can form flocks numbering in the hundreds of thousands.,,X,,3,cavity,4,38,,,X,1,,,1,,,,,,2,X,X,,,,,,,,,,X,,X,,,,,,,,,X,,,,,,X,X,
Trumpeter Swan,Cygnus buccinator,core,,,"With a mass over 9 kilograms, trumpeter swans are the heaviest bird in North America.",,,,9,ground,2,203,,,X,,2,,,,,1,,,3,X,X,,,,,,,,,,,,,X,X,X,,,,,X,,X,,,,,,X,
Tufted Titmouse,Baeolophus bicolor,core,white,Play an additional bird in your [forest]. Pay its normal cost.,Titmice are key in the formation of mixed-species flocks.,,,,2,cavity,3,25,X,,,1,1,,1,,,,/,,1,X,,,,,,,,,,,X,,,X,,,,,,X,,X,,X,,,,X,,
Tūī,Prosthemadera novaeseelandiae,oceania,brown,Copy a brown power on one bird in the [forest] of the player to your left.,Māori were known to train these highly territorial birds to imitate human speech.,,,,5,bowl,2,42,X,,,1,,,,,2,,,,3,,,,,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,X
Turkey Vulture,Cathartes aura,core,pink,"When another player's [predator] succeeds, gain 1 [die] from the birdfeeder.",Turkey vultures can projectile vomit to defend themselves.,,,,1,cavity,1,170,X,X,X,,,,,,,,,,0,X,X,X,,,,,,,,,X,X,,,,,,,,,X,X,,,,,,,,
Vaux's Swift,Chaetura vauxi,swiftstart,brown,"Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [invertebrate] from the supply.",William Sansom Vaux was a wealthy mineralogist and naturalist.,,X,,2,cavity,3,31,X,,,1,,,,,,,,,1,X,X,,,,,,,,X,,X,,X,,,,,,X,X,,X,,,,,,,,
Violet-Green Swallow ,Tachycineta thalassina,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].","Like other swallows, these birds forage in large groups in open areas.",,X,,3,cavity,3,36,X,X,X,2,,,,,,,,,2,X,X,,,,,,,,,X,X,X,X,,,,,,X,,,X,,,,,,,,
Wedge-Tailed Eagle,Aquila audax,oceania,brown,"Look at a [card] from the deck. If its wingspan is over 65cm, tuck it behind this bird and cache 1 [rodent] from the supply on this bird. If not, discard it.","These eagles can take large prey, including possums, kangaroos, and wallabies.",X,,,7,platform,2,207,X,X,X,,,,,3,,,,,3,,,,,,,X,X,,,,,X,,,X,,X,,,,X,,,,X,,X,,,
Welcome Swallow,Hirundo neoxena,oceania,white,"Tuck 1 [card] from the deck behind each bird in this habitat, including this bird.",This bird’s name refers to it heralding spring in southern Australia.,,X,,1,wild,5,28,,X,X,2,,,,,,,,,2,,,,,,,X,,,,,X,X,X,,,X,,,X,,,X,,X,X,,,,,X
Western Meadowlark,Sturnella neglecta,core,brown,All players lay 1 [egg] on any 1 [ground] bird. You may lay 1 [egg] on 1 additional [ground] bird.,This pretty bird also has a beautiful flute-like song.,,,,2,ground,4,38,,X,,1,1,,,,,,,,2,X,X,,,,,,,X,,,X,,,X,,X,,,,,,,,,,X,,,,
Western Tanager,Piranga ludoviciana,core,brown,"Gain 1 [invertebrate] or [fruit] from the birdfeeder, if available.",These flame-colored birds are hard to see because they like the canopies of evergreen forests.,,,,6,bowl,2,30,X,,,2,,,1,,,,,,3,X,X,,,,,,,X,,,,,,,X,,,,,X,,,,X,,,,X,,X
White Stork,Ciconia ciconia,european,brown,"Discard all remaining face-up [card] and refill the tray. If you do, draw 1 of the new face-up [card].",Storks were symbols of life or family in multiple ancient cultures.,,,,8,platform,2,160,,X,X,1,,1,,,,1,,,3,,,,X,X,X,,,,,X,,X,,,X,,,X,,,X,,X,,X,,,,,
White Wagtail,Motacilla alba,european,teal,"If you used all 4 types of actions this round, play another bird. Pay its normal food and egg cost.",The white wagtail is the national bird of Latvia.,,,,2,bowl,5,28,,X,X,2,,,,,,,,,2,,,,X,X,X,,X,,,X,X,X,,,,,,,X,,,,,X,,,,,,X
White-Backed Woodpecker,Dendrocopos leucotos,european,brown,Gain 1 [die] from the birdfeeder.,"This bird likes large forests with many dead trees, and will follow forest fires and insect infestations.",,,,2,cavity,2,39,X,,,1,,,1,,,,/,,1,,,,X,X,,,X,,,X,X,,,,,,,,,X,,X,,,,,,X,,
White-Bellied Sea-Eagle,Haliaeetus leucogaster,oceania,brown,"Reset the birdfeeder. Gain 1 [fish] or 1 [rodent] from the birdfeeder, if there is one, and cache it on this bird.",These eagles are skilled fishers and hunters but also harass smaller raptors and steal prey.,X,,,7,platform,2,200,X,,X,,,1,,2,,,,,3,,,,,X,,X,X,X,,X,,X,,,X,,X,X,,,X,,,,X,,X,,,
White-Breasted Nuthatch ,Sitta carolinensis,core,brown,Cache 1 [seed] from the supply on this bird.,Nuthatches cache seeds for winter in the bark of a tree.,,,,2,cavity,3,28,X,,,1,1,,,,,,/,,1,X,X,,,,,,X,,,X,X,,,X,,,,,,X,,X,,X,,,,,,
White-Breasted Woodswallow,Artamus leucoryn,oceania,white,"Lay 1 [egg] on each bird in your [grassland], including this one.",These woodswallows often perch in a tightly packed row when at rest.,,,,3,bowl,2,32,,X,,2,,,,,,,,,2,,,,,X,,X,X,,,X,X,,,,,,,,X,,,,,,,X,,,,X
White-Crowned Sparrow ,Zonotrichia leucophrys,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.","These sparrows like shrubby areas in many habitats, from tundra to desert.",,,,2,ground,5,25,X,X,X,1,1,,,,,,,,2,X,X,,,,,,X,,,X,X,X,,X,,X,,,,,,,,X,,,,,,
White-Faced Heron,Egretta novaehollandiae,oceania,brown,"Reset the birdfeeder and gain all [fish], if there are any. You may cache any or all of them on this bird.",These widespread herons can sometimes be found raiding suburban fish ponds.,X,,,6,platform,4,106,,,X,1,,1,,1,,,,,3,,,,,X,,X,X,,,X,,,,,X,,X,X,,,X,,,,X,,X,,X,
White-Faced Ibis ,Plegadis chihi,core,brown,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.",White-faced herons nest in colonies with herons and egrets.,X,,,8,platform,2,91,,,X,2,,1,,,,,,,3,X,X,X,,,,,X,,,X,,,,,X,,X,X,,,X,,,,X,,,,X,
White-Throated Dipper,Cinclus cinclus,european,brown,"Discard all remaining face-up [card] and refill the tray. If you do, draw 1 of the new face-up [card].",The dipper gets its name from the frequent bobbing motion it makes.,,,,3,cavity,4,28,,,X,1,,1,,,,,,,2,,,,X,X,,,X,,,X,X,,,,,,,X,,,,X,,X,,,,,X,
White-Throated Swift,Aeronautes saxatalis,swiftstart,brown,"Tuck 1 [card] from your hand behind this bird. If you do, lay 1 [egg] on any bird.",The white-throated swift is one of the fastest birds in North America.,,X,,2,cavity,2,38,,X,,1,,,,,,,,,1,X,X,,,,,,X,,,X,X,,X,,,,,,X,,,X,,,,X,,,,
Whooping Crane,Grus americana,core,white,Draw 2 new bonus cards and keep 1.,"From its low of 20 birds, the whooping crane population has risen to about 600.",,,X,6,ground,1,221,,,X,,,,,,,3,,,3,X,,,,,,,,,,,,,,,X,X,,,,,X,,X,,,,,,X,
Wild Turkey,Meleagris gallopavo,core,,,Wild turkeys were domesticated in the Americas before European contact.,,,,8,ground,5,135,X,X,,,2,,1,,,,,,3,X,X,,,,,,,,,,,X,,X,X,X,,,,,X,,,,,,,X,,
Willet,Tringa semipalmata,core,brown,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.",Willets feed during the day and the night.,X,,,4,ground,2,66,,,X,1,,1,,,,,/,,1,X,X,X,,,,,,,,,,,,,,X,X,X,,,X,,,,,,,,X,
Willie-Wagtail,Rhipidura leucophrys,oceania,brown,Draw 1 face-up [card] from the tray with a [bowl] or [star] nest. You may reset or refill the tray before doing so.,This bird joins mixed-species flocks and steals food from smaller birds.,,,,2,bowl,5,30,X,X,X,1,,,,,,1,,,2,,,,,X,,X,X,,,,X,X,,,,,,,,,,,X,X,,,,,,X
Wilson's Snipe,Gallinago delicata,core,brown,All players draw 1 [card] from the deck.,"Due to the position of their eyes, Wilson's snipes can see predators approaching from the front and back.",,,,5,ground,2,41,,,X,1,,,,,,,,,1,X,X,X,,,,,,,X,,,,,,,X,,,X,,,,,,,,,,X,
